Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
25.514,mousemove,1318,589,,,,,,,1536,738,,,FALSE
25.640,mousemove,1353,607,,,,,,,1536,738,,,FALSE
25.750,mousemove,1356,599,,,,,,,1536,738,,,FALSE
25.922,mousemove,1356,591,,,,,,,1536,738,,,FALSE
26.120,click,1358,587,button,,inline-flex items-center justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-10 px-4 py-2,,,,1536,738,,,FALSE
26.440,mousemove,1358,586,,,,,,,1536,738,,,FALSE
26.543,mousemove,1336,577,,,,,,,1536,738,,,FALSE
26.646,mousemove,1280,561,,,,,,,1536,738,,,FALSE
26.749,mousemove,1138,526,,,,,,,1536,738,,,FALSE
26.852,mousemove,1062,515,,,,,,,1536,738,,,FALSE
26.955,mousemove,968,503,,,,,,,1536,738,,,FALSE
27.058,mousemove,874,494,,,,,,,1536,738,,,FALSE
27.161,mousemove,855,493,,,,,,,1536,738,,,FALSE
27.424,mousemove,854,493,,,,,,,1536,738,,,FALSE
27.537,mousemove,836,487,,,,,,,1536,738,,,FALSE
27.640,mousemove,787,357,,,,,,,1536,738,,,FALSE
27.748,mousemove,765,303,,,,,,,1536,738,,,FALSE
27.852,mousemove,769,275,,,,,,,1536,738,,,FALSE
28.060,click,770,273,button,,inline-flex items-center justify-center whitespace-nowrap text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-9 rounded-md px-3,,,,1536,738,,,FALSE
29.405,mousemove,770,275,,,,,,,1536,738,,,FALSE
29.507,mousemove,711,364,,,,,,,1536,738,,,FALSE
29.837,mousemove,694,397,,,,,,,1536,738,,,FALSE
29.949,mousemove,702,379,,,,,,,1536,738,,,FALSE
30.169,mousemove,704,378,,,,,,,1536,738,,,FALSE
30.276,mousemove,734,377,,,,,,,1536,738,,,FALSE
30.431,mousemove,745,375,,,,,,,1536,738,,,FALSE
30.531,mousemove,762,373,,,,,,,1536,738,,,FALSE
30.832,mousemove,764,371,,,,,,,1536,738,,,FALSE
31.061,mousemove,764,371,,,,,,,1536,738,,,FALSE
31.162,mousemove,777,363,,,,,,,1536,738,,,FALSE
31.265,mousemove,908,141,,,,,,,1536,738,,,FALSE
31.680,mousemove,1051,,,,,,,,1536,738,,,FALSE
31.786,mousemove,1041,36,,,,,,,1536,738,,,FALSE
32.233,mousemove,1040,45,,,,,,,1536,738,,,FALSE
32.337,mousemove,1054,25,,,,,,,1536,738,,,FALSE
33.386,mousemove,882,282,,,,,,,1536,738,,,TRUE
33.489,mousemove,917,215,,,,,,,1536,738,,,TRUE
33.592,mousemove,969,117,,,,,,,1536,738,,,TRUE
33.695,mousemove,980,105,,,,,,,1536,738,,,TRUE
34.000,mousemove,989,91,,,,,,,1536,738,,,TRUE
34.107,mousemove,846,75,,,,,,,1536,738,,,TRUE
34.210,mousemove,704,53,,,,,,,1536,738,,,TRUE
35.100,tab-switch,,,,,,,,,,,blur,,TRUE
34.492,mousemove,664,39,,,,,,,1536,738,,,TRUE
34.598,mousemove,459,21,,,,,,,1536,738,,,TRUE
34.804,mousemove,457,21,,,,,,,1536,738,,,TRUE
40.104,tab-switch,,,,,,,,,,,focus,,TRUE
40.487,mousemove,346,1,,,,,,,1536,738,,,TRUE
40.592,mousemove,477,238,,,,,,,1536,738,,,TRUE
40.847,mousemove,725,335,,,,,,,1536,738,,,TRUE
40.950,mousemove,821,438,,,,,,,1536,738,,,TRUE
41.054,mousemove,907,510,,,,,,,1536,738,,,TRUE
41.156,mousemove,688,497,,,,,,,1536,738,,,TRUE
41.259,mousemove,411,490,,,,,,,1536,738,,,TRUE
41.362,mousemove,405,494,,,,,,,1536,738,,,TRUE
